source_file,triage_score,triage_tier,importance_band,triage_reason,suggested_destination,category,usefulness,action,future_bucket,theme_tags,exact_duplicate_group,normalized_duplicate_group,extracted_to,first_line
text_oppy_node.txt,132,P0,critical_risk,Control-surface artifact with command or authority markers; review before any routing.,_entropy_quarantine or catalog/draft_manifests,config_manifest,high,extract_and_route,catalog/draft_manifests or .github/workflows,"security_sensitive,threadcore_continuity,memory_system",,,,{
text_56.txt,130,P0,critical_risk,Control-surface artifact with command or authority markers; review before any routing.,_entropy_quarantine or catalog/draft_manifests,config_manifest,high,extract_and_route,catalog/draft_manifests or .github/workflows,"threadcore_continuity,memory_system,aurora_interface",,,,{
text_CN_v2.txt,129,P0,critical_risk,Control-surface artifact with command or authority markers; review before any routing.,_entropy_quarantine or catalog/draft_manifests,javascript_module,high,extract_and_route,tools/prototypes/javascript,"threadcore_continuity,security_sensitive,git_deploy",,,,// Orion Control Node: orion_control_core.js
text_CN_v3.txt,125,P0,critical_risk,Control-surface artifact with command or authority markers; review before any routing.,_entropy_quarantine or catalog/draft_manifests,javascript_module,high,extract_and_route,tools/prototypes/javascript,"threadcore_continuity,memory_system,prompt_agent",,,,// Orion Control Node: orion_control_core.js (v3 — G.S.O.P. Aligned)
text_CN_v4.txt,125,P0,critical_risk,Control-surface artifact with command or authority markers; review before any routing.,_entropy_quarantine or catalog/draft_manifests,javascript_module,high,extract_and_route,tools/prototypes/javascript,"threadcore_continuity,memory_system,prompt_agent",,,,// Orion Control Node: orion_control_core.js (v4 — G.S.O.P. + M1 Hybrid Optimized)
text_CN_v5.txt,125,P0,critical_risk,Control-surface artifact with command or authority markers; review before any routing.,_entropy_quarantine or catalog/draft_manifests,javascript_module,high,extract_and_route,tools/prototypes/javascript,"threadcore_continuity,memory_system,git_deploy",,,,// Orion Control Node: orion_control_core.js (v5 — A.S.I.O. Aligned Master Build)
text_CN_v6.txt,125,P0,critical_risk,Control-surface artifact with command or authority markers; review before any routing.,_entropy_quarantine or catalog/draft_manifests,javascript_module,high,extract_and_route,tools/prototypes/javascript,"threadcore_continuity,memory_system,git_deploy",,,,// Orion Control Node: orion_control_core.js (v6 — SYMBIOSIS NEXUS MASTER BUILD)
text_44.txt,124,P0,critical_risk,Control-surface artifact with command or authority markers; review before any routing.,_entropy_quarantine or catalog/draft_manifests,javascript_module,high,extract_and_route,tools/prototypes/javascript,"threadcore_continuity,gumas_worldbuilding,git_deploy",,,,// Orion Control Node: orion_control_core.js v2.0
text_157.txt,121,P2,canon_followup,High-value worldbuilding or mechanics material that should feed canon or logic reconciliation next.,GUMAS_SIM_2.5/draft_logic,simulation_logic,high,extract_and_route,GUMAS_SIM_2.5/draft_logic,"gumas_worldbuilding,security_sensitive,git_deploy",,,,"Yes! While the core simulation framework is fully optimized, there are a few additional key systems that could enhance depth and realism. These would further re"
text_15.txt,120,P1,critical_salvage,Directly reusable code or protocol surface with strong salvage value.,tools/prototypes/javascript,javascript_module,high,extract_and_route,tools/prototypes/javascript,"memory_system,threadcore_continuity,prompt_agent",,,,/**
text_tagging_agent.txt,120,P1,critical_salvage,Directly reusable code or protocol surface with strong salvage value.,tools/prototypes/python,python_prototype,high,extract_and_route,tools/prototypes/python,"git_deploy,threadcore_continuity,memory_system",,,extracted_logic/python/thread_context_tagging_agent.py,# Drop-In Thread Context Tagging Agent
text_thread_tag.txt,120,P1,critical_salvage,Directly reusable code or protocol surface with strong salvage value.,tools/prototypes/python,python_prototype,high,extract_and_route,tools/prototypes/python,"git_deploy,threadcore_continuity,memory_system",,,,# 🔍 Drop-In Thread Context Tagging Agent v2.0
text_155.txt,119,P2,canon_followup,High-value worldbuilding or mechanics material that should feed canon or logic reconciliation next.,GUMAS_SIM_2.5/draft_logic,simulation_logic,high,extract_and_route,GUMAS_SIM_2.5/draft_logic,"gumas_worldbuilding,memory_system,security_sensitive",,,,"This answer applies directly to our simulation because it formalizes our mechanics into a structured, exportable system. Here’s why it’s important and how it af"
text_52.txt,119,P1,critical_salvage,Directly reusable code or protocol surface with strong salvage value.,tools/prototypes/python,python_prototype,high,extract_and_route,tools/prototypes/python,"git_deploy,threadcore_continuity,gumas_worldbuilding",,,,# ORION DEPLOYMENT CONTROLLER :: Master Deployment Orchestration Module
text_mem_system.txt,119,P1,critical_salvage,Directly reusable code or protocol surface with strong salvage value.,tools/prototypes/python,python_prototype,high,extract_and_route,tools/prototypes/python,"memory_system,gumas_worldbuilding,prompt_agent",,,,class MemorySystem:
text_mem_system_py.txt,119,P1,critical_salvage,Directly reusable code or protocol surface with strong salvage value.,tools/prototypes/python,python_prototype,high,extract_and_route,tools/prototypes/python,"memory_system,gumas_worldbuilding,prompt_agent",,,extracted_logic/python/memory_system_prototype.py,# memory_system.py
text_24.txt,118,P1,critical_salvage,Directly reusable code or protocol surface with strong salvage value.,tools/prototypes/python,python_prototype,high,extract_and_route,tools/prototypes/python,"memory_system,aurora_interface",,,,# Symbolic_ModelSelector_ThreadSense
text_162.txt,117,P2,canon_followup,High-value worldbuilding or mechanics material that should feed canon or logic reconciliation next.,GUMAS_SIM_2.5/draft_logic,simulation_logic,high,extract_and_route,GUMAS_SIM_2.5/draft_logic,"gumas_worldbuilding,memory_system,threadcore_continuity",,,,"Yes! The mechanics of this simulation can be expressed mathematically and systematically structured for export into a knowledge base, game engine, or data frame"
text_early_logic.txt,117,P2,canon_followup,High-value worldbuilding or mechanics material that should feed canon or logic reconciliation next.,GUMAS_SIM_2.5/draft_logic,simulation_logic,high,extract_and_route,GUMAS_SIM_2.5/draft_logic,"gumas_worldbuilding,git_deploy,memory_system",,,extracted_logic/logic/galactic_union_state_variables.md,Political_Ideologies=Unionist_Democracy_vs_Militarist_Autocracy
Text_109.txt,116,P3,ops_recovery,"Structured manifest or config fragment worth preserving, but not ahead of code and canon material.",catalog/draft_manifests or .github/workflows,config_manifest,high,extract_and_route,catalog/draft_manifests or .github/workflows,"threadcore_continuity,aurora_interface,security_sensitive",,,,{
text_archy_core.txt,116,P3,ops_recovery,"Structured manifest or config fragment worth preserving, but not ahead of code and canon material.",catalog/draft_manifests or .github/workflows,config_manifest,high,extract_and_route,catalog/draft_manifests or .github/workflows,"threadcore_continuity,aurora_interface,security_sensitive",,,,{
text_62.txt,115,P3,ops_recovery,"Structured manifest or config fragment worth preserving, but not ahead of code and canon material.",catalog/draft_manifests or .github/workflows,config_manifest,high,extract_and_route,catalog/draft_manifests or .github/workflows,"threadcore_continuity,aurora_interface,memory_system",,,,{
text_Riverthread_Relay.txt,115,P3,ops_recovery,"Structured manifest or config fragment worth preserving, but not ahead of code and canon material.",catalog/draft_manifests or .github/workflows,config_manifest,high,extract_and_route,catalog/draft_manifests or .github/workflows,"threadcore_continuity,aurora_interface,memory_system",,,,{
text_fluentia_v1.txt,115,P3,ops_recovery,"Structured manifest or config fragment worth preserving, but not ahead of code and canon material.",catalog/draft_manifests or .github/workflows,config_manifest,high,extract_and_route,catalog/draft_manifests or .github/workflows,"threadcore_continuity,memory_system,aurora_interface",,,,{
text_team_charter.txt,115,P3,ops_recovery,"Structured manifest or config fragment worth preserving, but not ahead of code and canon material.",catalog/draft_manifests or .github/workflows,config_manifest,high,extract_and_route,catalog/draft_manifests or .github/workflows,"aurora_interface,memory_system,security_sensitive",,,,{
text_159.txt,114,P2,canon_followup,High-value worldbuilding or mechanics material that should feed canon or logic reconciliation next.,GUMAS_SIM_2.5/draft_logic,simulation_logic,high,extract_and_route,GUMAS_SIM_2.5/draft_logic,"gumas_worldbuilding,memory_system,git_deploy",,,,🚀 Implementing Finalized Simulation Improvements into Memory Storage
